// Validating benchmarks:
// ***** BenchmarkRunner: Start   *****
// ***** Found 3 benchmark(s) in total *****
// ***** Building 1 exe(s) in Parallel: Start   *****
// ***** Done, took 00:00:00 (0.02 sec)   *****
// Found 3 benchmarks:
//   MyBenchmark.UseEntity: MediumRun(Toolchain=InProcessNoEmitToolchain, IterationCount=15, LaunchCount=2, WarmupCount=10)
//   MyBenchmark.UseEntityBufferedMessageFor: MediumRun(Toolchain=InProcessNoEmitToolchain, IterationCount=15, LaunchCount=2, WarmupCount=10)
//   MyBenchmark.UseEntityBufferedMessageForeach: MediumRun(Toolchain=InProcessNoEmitToolchain, IterationCount=15, LaunchCount=2, WarmupCount=10)

Setup power plan (GUID: 8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c FriendlyName: High performance)
// **************************
// Benchmark: MyBenchmark.UseEntity: MediumRun(Toolchain=InProcessNoEmitToolchain, IterationCount=15, LaunchCount=2, WarmupCount=10)
// *** Execute ***
// Launch: 1 / 2

// Benchmark Process Environment Information:
// Runtime=.NET 7.0.5 (7.0.523.17405), X64 RyuJIT AVX2
// GC=Concurrent Workstation
// HardwareIntrinsics=AVX2,AES,BMI1,BMI2,FMA,LZCNT,PCLMUL,POPCNT,AvxVnni,SERIALIZE VectorSize=256
// Job: MediumRun(Toolchain=InProcessNoEmitToolchain, IterationCount=15, LaunchCount=2, WarmupCount=10)

OverheadJitting  1: 1 op, 144600.00 ns, 144.6000 us/op
WorkloadJitting  1: 1 op, 1021900.00 ns, 1.0219 ms/op

OverheadJitting  2: 16 op, 143400.00 ns, 8.9625 us/op
WorkloadJitting  2: 16 op, 18800.00 ns, 1.1750 us/op

WorkloadPilot    1: 16 op, 18300.00 ns, 1.1438 us/op
WorkloadPilot    2: 32 op, 27700.00 ns, 865.6250 ns/op
WorkloadPilot    3: 64 op, 47300.00 ns, 739.0625 ns/op
WorkloadPilot    4: 128 op, 85700.00 ns, 669.5312 ns/op
WorkloadPilot    5: 256 op, 164500.00 ns, 642.5781 ns/op
WorkloadPilot    6: 512 op, 310100.00 ns, 605.6641 ns/op
WorkloadPilot    7: 1024 op, 624500.00 ns, 609.8633 ns/op
WorkloadPilot    8: 2048 op, 1214500.00 ns, 593.0176 ns/op
WorkloadPilot    9: 4096 op, 2330400.00 ns, 568.9453 ns/op
WorkloadPilot   10: 8192 op, 4631500.00 ns, 565.3687 ns/op
WorkloadPilot   11: 16384 op, 9087000.00 ns, 554.6265 ns/op
WorkloadPilot   12: 32768 op, 18229000.00 ns, 556.3049 ns/op
WorkloadPilot   13: 65536 op, 36281900.00 ns, 553.6179 ns/op
WorkloadPilot   14: 131072 op, 71161000.00 ns, 542.9153 ns/op
WorkloadPilot   15: 262144 op, 92867500.00 ns, 354.2614 ns/op
WorkloadPilot   16: 524288 op, 102471600.00 ns, 195.4491 ns/op
WorkloadPilot   17: 1048576 op, 205526100.00 ns, 196.0050 ns/op
WorkloadPilot   18: 2097152 op, 412636800.00 ns, 196.7606 ns/op
WorkloadPilot   19: 4194304 op, 811169900.00 ns, 193.3980 ns/op

OverheadWarmup   1: 4194304 op, 18749100.00 ns, 4.4701 ns/op
OverheadWarmup   2: 4194304 op, 18606900.00 ns, 4.4362 ns/op
OverheadWarmup   3: 4194304 op, 19197900.00 ns, 4.5771 ns/op
OverheadWarmup   4: 4194304 op, 19201100.00 ns, 4.5779 ns/op
OverheadWarmup   5: 4194304 op, 19265900.00 ns, 4.5933 ns/op
OverheadWarmup   6: 4194304 op, 19300100.00 ns, 4.6015 ns/op
OverheadWarmup   7: 4194304 op, 19268200.00 ns, 4.5939 ns/op
OverheadWarmup   8: 4194304 op, 18209200.00 ns, 4.3414 ns/op
OverheadWarmup   9: 4194304 op, 18486800.00 ns, 4.4076 ns/op
OverheadWarmup  10: 4194304 op, 18578500.00 ns, 4.4295 ns/op

OverheadActual   1: 4194304 op, 15969500.00 ns, 3.8074 ns/op
OverheadActual   2: 4194304 op, 15687800.00 ns, 3.7403 ns/op
OverheadActual   3: 4194304 op, 15090200.00 ns, 3.5978 ns/op
OverheadActual   4: 4194304 op, 15196300.00 ns, 3.6231 ns/op
OverheadActual   5: 4194304 op, 15115100.00 ns, 3.6037 ns/op
OverheadActual   6: 4194304 op, 15050700.00 ns, 3.5884 ns/op
OverheadActual   7: 4194304 op, 15423700.00 ns, 3.6773 ns/op
OverheadActual   8: 4194304 op, 15019200.00 ns, 3.5809 ns/op
OverheadActual   9: 4194304 op, 14619800.00 ns, 3.4856 ns/op
OverheadActual  10: 4194304 op, 14524900.00 ns, 3.4630 ns/op
OverheadActual  11: 4194304 op, 14562500.00 ns, 3.4720 ns/op
OverheadActual  12: 4194304 op, 14724200.00 ns, 3.5105 ns/op
OverheadActual  13: 4194304 op, 14689600.00 ns, 3.5023 ns/op
OverheadActual  14: 4194304 op, 14928200.00 ns, 3.5592 ns/op
OverheadActual  15: 4194304 op, 14731200.00 ns, 3.5122 ns/op

WorkloadWarmup   1: 4194304 op, 749747200.00 ns, 178.7537 ns/op
WorkloadWarmup   2: 4194304 op, 775427100.00 ns, 184.8762 ns/op
WorkloadWarmup   3: 4194304 op, 759027500.00 ns, 180.9663 ns/op
WorkloadWarmup   4: 4194304 op, 851671900.00 ns, 203.0544 ns/op
WorkloadWarmup   5: 4194304 op, 785116800.00 ns, 187.1864 ns/op
WorkloadWarmup   6: 4194304 op, 790302800.00 ns, 188.4229 ns/op
WorkloadWarmup   7: 4194304 op, 798476000.00 ns, 190.3715 ns/op
WorkloadWarmup   8: 4194304 op, 717173600.00 ns, 170.9875 ns/op
WorkloadWarmup   9: 4194304 op, 818726600.00 ns, 195.1996 ns/op
WorkloadWarmup  10: 4194304 op, 805938900.00 ns, 192.1508 ns/op

WorkloadActual   1: 4194304 op, 751132200.00 ns, 179.0839 ns/op
WorkloadActual   2: 4194304 op, 774877800.00 ns, 184.7453 ns/op
WorkloadActual   3: 4194304 op, 734724900.00 ns, 175.1721 ns/op
WorkloadActual   4: 4194304 op, 769216100.00 ns, 183.3954 ns/op
WorkloadActual   5: 4194304 op, 808544900.00 ns, 192.7721 ns/op
